link,video_link,title,time,date,day,arm_month,year,month,iso_date,cleaned_title
https://www.1tv.am/hy/video/Հարցազրույց-Արման-Եղոյանի-հետ/202246,https://www.youtube.com/embed/B_IELJSXtpY?autoplay=1&autohide=1,Հարցազրույց Արման Եղոյանի հետ,21:45,"02 Սեպ, 2022",02,Սեպ,2022,09,2022-09-02,արման եղոյան
https://www.1tv.am/hy/video/Հարցազրույց-Էդմոն-Մարուքյանի-հետ/202214,https://www.youtube.com/embed/yIE8RMVFIDk?autoplay=1&autohide=1,Հարցազրույց Էդմոն Մարուքյանի հետ,21:30,"01 Սեպ, 2022",01,Սեպ,2022,09,2022-09-01,էդմոն մարուքյան
https://www.1tv.am/hy/video/Հարցազրույց-Միլենա-Կռոյանի-և-Գեղամ-Հայրապետյանի-հետ/202204,https://www.youtube.com/embed/x_FbzNWpsps?autoplay=1&autohide=1,Հարցազրույց Միլենա Կռոյանի և Գեղամ Հայրապետյանի հետ,21:40,"31 Օգս, 2022",31,Օգս,2022,08,2022-08-31,միլենա կռոյան և գեղամ հայրապետյան
https://www.1tv.am/hy/video/Հարցազրույց-Վահան-Քերոբյանի-հետ/202176,https://www.youtube.com/embed/pvlcHxg4d1M?autoplay=1&autohide=1,Հարցազրույց Վահան Քերոբյանի հետ,21:45,"30 Օգս, 2022",30,Օգս,2022,08,2022-08-30,վահան քերոբյան
https://www.1tv.am/hy/video/Հարցազրույց-Սամվել-Բաբայանի-հետ/202138,https://www.youtube.com/embed/qgtN34Z9SYE?autoplay=1&autohide=1,Հարցազրույց Սամվել Բաբայանի հետ,21:45,"29 Օգս, 2022",29,Օգս,2022,08,2022-08-29,սամվել բաբայան
https://www.1tv.am/hy/video/Հարցազրույց-Ալեքսանդր-Մարգարովի-հետ/202104,https://www.youtube.com/embed/1uMiZf-C9kQ?autoplay=1&autohide=1,Հարցազրույց Ալեքսանդր Մարգարովի հետ,20:45,"26 Օգս, 2022",26,Օգս,2022,08,2022-08-26,ալեքսանդր մարգարով
https://www.1tv.am/hy/video/Հարցազրույց-Սուրեն-Սուրենյանցի-հետ/202057,https://www.youtube.com/embed/WxfVeOmtv68?autoplay=1&autohide=1,Հարցազրույց Սուրեն Սուրենյանցի հետ,21:30,"25 Օգս, 2022",25,Օգս,2022,08,2022-08-25,սուրեն սուրենյանց
https://www.1tv.am/hy/video/Հարցազրույց-Արծրուն-Հովհաննիսյանի-հետ/202029,https://www.youtube.com/embed/45cAJx0Su0I?autoplay=1&autohide=1,Հարցազրույց Արծրուն Հովհաննիսյանի հետ,21:40,"24 Օգս, 2022",24,Օգս,2022,08,2022-08-24,արծրուն հովհաննիսյան
https://www.1tv.am/hy/video/Հարցազրույց-Էդգար-Ղազարյանի-հետ/202033,https://www.youtube.com/embed/AWIVXCPuo0k?autoplay=1&autohide=1,Հարցազրույց Էդգար Ղազարյանի հետ,21:40,"24 Օգս, 2022",24,Օգս,2022,08,2022-08-24,էդգար ղազարյան
https://www.1tv.am/hy/video/Հարցազրույց-Էդմոն-Մարուքյանի-հետ/201994,https://www.youtube.com/embed/RHAqvY2k0m0?autoplay=1&autohide=1,Հարցազրույց Էդմոն Մարուքյանի հետ,21:15,"23 Օգս, 2022",23,Օգս,2022,08,2022-08-23,էդմոն մարուքյան
