link,video_link,title,time,date
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Սուքիասյանի-հետ/231158,https://www.youtube.com/embed/azYrbMmjW9Y?autoplay=1&autohide=1,Հարցազրույց Հայկ Սուքիասյանի հետ,22:10,"14 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Սերգեյ-Գոլուբի-և-Հայկուհի-Գեոկչյանի-հետ/231117,https://www.youtube.com/embed/mFd1WNIQXg0?autoplay=1&autohide=1,Հարցազրույց Սերգեյ Գոլուբի և Հայկուհի Գեոկչյանի հետ,22:10,"13 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արման-Եղոյանի-հետ/231094,https://www.youtube.com/embed/sO-HjfA2B3M?autoplay=1&autohide=1,Հարցազրույց Արման Եղոյանի հետ,22:10,"12 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Վիգեն-Չըթըրյանի-հետ/231050,https://www.youtube.com/embed/wMpMHwlRaIw?autoplay=1&autohide=1,Հարցազրույց Վիգեն Չըթըրյանի հետ,22:10,"10 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Կոնջորյանի-հետ/231033,https://www.youtube.com/embed/rCEb9pU7Rko?autoplay=1&autohide=1,Հարցազրույց Հայկ Կոնջորյանի հետ,22:10,"07 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Բաբկեն-Թունյանի-հետ/230991,https://www.youtube.com/embed/9QovpP63kGY?autoplay=1&autohide=1,Հարցազրույց Բաբկեն Թունյանի հետ,22:10,"06 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Գառնիկ-Դանիելյանի-հետ/230986,https://www.youtube.com/embed/2beBtQAXlbo?autoplay=1&autohide=1,Հարցազրույց Գառնիկ Դանիելյանի հետ,22:10,"05 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Միքայել-Զոլյանի-հետ/230942,https://www.youtube.com/embed/CigKPH_vhLo?autoplay=1&autohide=1,Հարցազրույց Միքայել Զոլյանի հետ,22:10,"03 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Գարո-Փայլանի-հետ/230894,https://www.youtube.com/embed/0FKCAATFOJc?autoplay=1&autohide=1,Հարցազրույց Գարո Փայլանի հետ,22:10,"31 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Տիգրան-Ավինյանի-հետ/230853,https://www.youtube.com/embed/VmE3cOfaLxk?autoplay=1&autohide=1,Հարցազրույց Տիգրան Ավինյանի հետ,22:10,"29 Հնվ, 2025"
