link,video_link,title,time,date,day,arm_month,year,month,iso_date,cleaned_title,video_id,Duration,Thumbnail_URL,Views
https://www.1tv.am/hy/video/Հարցազրույց-Կարեն-Կարագուլյանի-և-Վաչե-Թովմասյանի-հետ/231457,https://www.youtube.com/embed/MT9t2a7a3j8?autoplay=1&autohide=1,Հարցազրույց Կարեն Կարագուլյանի և Վաչե Թովմասյանի հետ,20:20,"04 Մար, 2025",4,Մար,2025,3,2025-03-04,կարեն կարագուլյան և վաչե թովմասյան,MT9t2a7a3j8,00:32:41,https://i.ytimg.com/vi/MT9t2a7a3j8/hqdefault.jpg,176717
https://www.1tv.am/hy/video/Հարցազրույց-Երվանդ-Թարվերդյանի-հետ/231445,https://www.youtube.com/embed/vKDlqqbhRuU?autoplay=1&autohide=1,Հարցազրույց Երվանդ Թարվերդյանի հետ,22:10,"03 Մար, 2025",3,Մար,2025,3,2025-03-03,երվանդ թարվերդյան,vKDlqqbhRuU,00:21:20,https://i.ytimg.com/vi/vKDlqqbhRuU/hqdefault.jpg,12320
https://www.1tv.am/hy/video/Հարցազրույց-Դավիթ-Առուշանյանի-հետ/231397,https://www.youtube.com/embed/SPhG9lFMvZg?autoplay=1&autohide=1,Հարցազրույց Դավիթ Առուշանյանի հետ,22:10,"28 Փտր, 2025",28,Փտր,2025,2,2025-02-28,դավիթ առուշանյան,SPhG9lFMvZg,00:27:01,https://i.ytimg.com/vi/SPhG9lFMvZg/hqdefault.jpg,11047
https://www.1tv.am/hy/video/Հարցազրույց-Վահագն-Ալեքսանյանի-հետ/231379,https://www.youtube.com/embed/VP-3f82wC6o?autoplay=1&autohide=1,Հարցազրույց Վահագն Ալեքսանյանի հետ,22:10,"27 Փտր, 2025",27,Փտր,2025,2,2025-02-27,վահագն ալեքսանյան,VP-3f82wC6o,00:21:35,https://i.ytimg.com/vi/VP-3f82wC6o/hqdefault.jpg,39867
https://www.1tv.am/hy/video/Հարցազրույց-Սերգեյ-Մինասյանի-հետ/231366,https://www.youtube.com/embed/oKH47mw0Zpw?autoplay=1&autohide=1,Հարցազրույց Սերգեյ Մինասյանի հետ,22:10,"26 Փտր, 2025",26,Փտր,2025,2,2025-02-26,սերգեյ մինասյան,oKH47mw0Zpw,00:23:31,https://i.ytimg.com/vi/oKH47mw0Zpw/hqdefault.jpg,12734
https://www.1tv.am/hy/video/Հարցազրույց-Խոսրով-Հարությունյանի-հետ/231350,https://www.youtube.com/embed/iA6jfsTpWkc?autoplay=1&autohide=1,Հարցազրույց Խոսրով Հարությունյանի հետ,22:10,"25 Փտր, 2025",25,Փտր,2025,2,2025-02-25,խոսրով հարությունյան,iA6jfsTpWkc,00:36:45,https://i.ytimg.com/vi/iA6jfsTpWkc/hqdefault.jpg,22637
https://www.1tv.am/hy/video/Հարցազրույց-Վլադիմիր-Վարդանյանի-հետ/231337,https://www.youtube.com/embed/fDJUutoThxo?autoplay=1&autohide=1,Հարցազրույց Վլադիմիր Վարդանյանի հետ,22:10,"24 Փտր, 2025",24,Փտր,2025,2,2025-02-24,վլադիմիր վարդանյան,fDJUutoThxo,00:26:40,https://i.ytimg.com/vi/fDJUutoThxo/hqdefault.jpg,14688
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Կոնջորյանի-հետ/231263,https://www.youtube.com/embed/KubiymERfVA?autoplay=1&autohide=1,Հարցազրույց Հայկ Կոնջորյանի հետ,22:10,"20 Փտր, 2025",20,Փտր,2025,2,2025-02-20,հայկ կոնջորյան,KubiymERfVA,00:27:10,https://i.ytimg.com/vi/KubiymERfVA/hqdefault.jpg,34004
https://www.1tv.am/hy/video/Հարցազրույց-Տարոն-Չախոյանի-հետ/231225,https://www.youtube.com/embed/g6BXBertBbg?si=D4rdLo9ti5KLCDb9?autoplay=1&autohide=1,Հարցազրույց Տարոն Չախոյանի հետ,22:10,"18 Փտր, 2025",18,Փտր,2025,2,2025-02-18,տարոն չախոյան,g6BXBertBbg,00:26:52,https://i.ytimg.com/vi/g6BXBertBbg/hqdefault.jpg,44862
https://www.1tv.am/hy/video/Հարցազրույց-Արման-Բաբաջանյանի-հետ/231205,https://www.youtube.com/embed/-ocRwHq4qqM?autoplay=1&autohide=1,Հարցազրույց Արման Բաբաջանյանի հետ,22:10,"17 Փտր, 2025",17,Փտր,2025,2,2025-02-17,արման բաբաջանյան,-ocRwHq4qqM,00:23:40,https://i.ytimg.com/vi/-ocRwHq4qqM/hqdefault.jpg,39530
