,link,video_link,title,time,date,video_id,views,likes,comments,shares
1165,https://www.1tv.am/hy/video/Հարցազրույց-Արտակ-Զաքարյանի-հետ/157525,https://www.youtube.com/embed/__zd7QBc7r0?autoplay=1&autohide=1,Հարցազրույց Արտակ Զաքարյանի հետ,21:30,"07 Հլս, 2020",__zd7QBc7r0,1670,7,29,N/A
1166,https://www.1tv.am/hy/video/Հարցազրույց-Աբբաս-Բադախշան-Զոհուրիի-հետ/157438,https://www.youtube.com/embed/_0wvW0fOdTA?autoplay=1&autohide=1,Հարցազրույց Աբբաս Բադախշան Զոհուրիի հետ,21:45,"06 Հլս, 2020",_0wvW0fOdTA,1762,41,0,N/A
1167,https://www.1tv.am/hy/video/Հարցազրույց-Մարիուս-Չուռլյոնիսի-հետ/157280,https://www.youtube.com/embed/qqDC3MpiPz0?autoplay=1&autohide=1,Հարցազրույց Մարիուս Չուռլյոնիսի հետ,21:45,"03 Հլս, 2020",qqDC3MpiPz0,1715,47,2,N/A
1168,https://www.1tv.am/hy/video/Հարցազրույց-Կարապետ-Բադալյանի-հետ/157217,https://www.youtube.com/embed/VZrQdgWKTg0?autoplay=1&autohide=1,Հարցազրույց Կարապետ Բադալյանի հետ,21:30,"02 Հլս, 2020",VZrQdgWKTg0,4460,102,6,N/A
1169,https://www.1tv.am/hy/video/Հարցազրույց-Արման-Եղոյանի-հետ/157103,https://www.youtube.com/embed/Ha_Xr7_EiKM?autoplay=1&autohide=1,Հարցազրույց Արման Եղոյանի հետ,21:30,"01 Հլս, 2020",Ha_Xr7_EiKM,2549,57,5,N/A
1170,https://www.1tv.am/hy/video/Հարցարզրույց-Գրիգոր-Մինասյանի-հետ/157040,https://www.youtube.com/embed/GWT967dR8UI?autoplay=1&autohide=1,Հարցարզրույց Գրիգոր Մինասյանի հետ,21:30,"30 Հնս, 2020",GWT967dR8UI,77254,375,66,N/A
1171,https://www.1tv.am/hy/video/Հարցազրույց-Խաչատուր-Սուքիասյանի-հետ/156941,https://www.youtube.com/embed/VLAX5q_HRsk?autoplay=1&autohide=1,Հարցազրույց Խաչատուր Սուքիասյանի հետ,21:30,"27 Հնս, 2020",VLAX5q_HRsk,31925,548,44,N/A
1172,https://www.1tv.am/hy/video/Հարցազրույց-Արսեն-Թորոսյանի-հետ/156724,https://www.youtube.com/embed/2e5nYY_cdLU?autoplay=1&autohide=1,Հարցազրույց Արսեն Թորոսյանի հետ,21:55,"26 Հնս, 2020",2e5nYY_cdLU,3033,82,20,N/A
1173,https://www.1tv.am/hy/video/Հարցազրույց-Արսեն-Առաքելյանի-հետ/156630,https://www.youtube.com/embed/iqsonZ-9Bx8?autoplay=1&autohide=1,Հարցազրույց Արսեն Առաքելյանի հետ,21:45,"25 Հնս, 2020",iqsonZ-9Bx8,1489,35,0,N/A
1174,https://www.1tv.am/hy/video/Հարցազրույց-Մանե-Թանդիլյանի-հետ/156569,https://www.youtube.com/embed/eX5iePOPZjk?autoplay=1&autohide=1,Հարցազրույց Մանե Թանդիլյանի հետ,21:45,"24 Հնս, 2020",eX5iePOPZjk,1752,18,23,N/A
