"U.S. Senator, Full Term (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,"Registered 
Voters",,Undervotes,Overvotes,Precinct,"STEVE GARVEY
(REP) ",,"DENICE GARY-PANDOL
(REP) ",,,"LAURA GARZA
(NPP) ",,"SEPI GILANI
(DEM) ",,,"DON J. GRUNDMANN
(NPP) ",,"FORREST JONES
(AI) ",,"BARBARA LEE
(DEM) ",,"GAIL LIGHTFOOT
(LIB) ",,"SARAH SUN LIEW
(REP) ",,"SHARLETA BASSETT
(REP) ",,"JAMES BRADLEY
(REP) ",,"MARTIN VEPRAUSKAS
(REP) ",,"ERIC EARLY
(REP) ",,"ADAM B. SCHIFF
(DEM) ",,"MAJOR SINGH
(NPP) ",,"STEFAN SIMCHOWITZ
(REP) ",,"CHRISTINA PASCUCCI
(DEM) ",,"DAVID PETERSON
(DEM) ",,"PERRY POUND
(DEM) ",,"KATIE PORTER
(DEM) ",,"DOUGLAS H. PIERCE
(DEM) ",,"RAJI RAB
(DEM) ",,"MARK RUZON
(NPP) ",,"JONATHAN REISS
(REP) ",,"JOHN ROSE
(DEM) ",,"HARMESH KUMAR
(DEM) ",,"JAMES ""JIM"" MACAULEY
(REP) ",,Total Votes,"DANNY FABRICANT
Qualified Write In 
",,"CARLOS GUILLERMO TAPIA
Qualified Write In 
",,"MICHAEL JOSEPH DILGER
Qualified Write In 
",,"JOHN DOWELL
Qualified Write In 
",
Election Day,81,"2,088",,4,1,Election Day,1,,0,,,0,,0,,,0,,0,,30,,0,,0,,0,,0,,1,,1,,17,,0,,0,,2,,0,,0,,22,,0,,0,,1,,0,,0,,1,,0,,76,0,,0,,0,,0,
Vote by Mail,"1,057","2,088",,18,1,Vote by Mail,21,,1,,,0,,3,,,0,,0,,332,,0,,2,,0,,2,,0,,8,,391,,0,,1,,1,,0,,0,,274,,0,,1,,0,,0,,0,,1,,0,,"1,038",0,,0,,0,,0,
Total,"1,138","2,088",,22,2,Total,22,,1,,,0,,3,,,0,,0,,362,,0,,2,,0,,2,,1,,9,,408,,0,,1,,3,,0,,0,,296,,0,,1,,1,,0,,0,,2,,0,,"1,114",0,,0,,0,,0,
206900,,,,,,206900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,48,"1,412",,0,0,Election Day,2,,0,,,0,,0,,,0,,0,,17,,0,,1,,0,,0,,0,,0,,12,,0,,0,,0,,0,,0,,15,,0,,1,,0,,0,,0,,0,,0,,48,0,,0,,0,,0,
Vote by Mail,588,"1,412",,13,1,Vote by Mail,20,,0,,,1,,0,,,0,,1,,218,,1,,1,,0,,0,,0,,1,,186,,1,,1,,0,,1,,0,,139,,0,,0,,0,,0,,1,,1,,1,,574,0,,0,,0,,0,
Total,636,"1,412",,13,1,Total,22,,0,,,1,,0,,,0,,1,,235,,1,,2,,0,,0,,0,,1,,198,,1,,1,,0,,1,,0,,154,,0,,1,,0,,0,,1,,1,,1,,622,0,,0,,0,,0,
207000,,,,,,207000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,60,"1,941",,2,0,Election Day,5,,0,,,1,,0,,,0,,0,,23,,0,,0,,0,,0,,0,,0,,14,,0,,0,,1,,0,,0,,13,,0,,0,,0,,0,,0,,1,,0,,58,0,,0,,0,,0,
Vote by Mail,"1,132","1,941",,15,5,Vote by Mail,26,,0,,,0,,1,,,0,,2,,360,,1,,0,,0,,0,,0,,4,,395,,1,,0,,1,,0,,0,,320,,0,,0,,0,,1,,0,,0,,0,,"1,112",0,,0,,0,,0,
Total,"1,192","1,941",,17,5,Total,31,,0,,,1,,1,,,0,,2,,383,,1,,0,,0,,0,,0,,4,,409,,1,,0,,2,,0,,0,,333,,0,,0,,0,,1,,0,,1,,0,,"1,170",0,,0,,0,,0,
207200,,,,,,207200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,95,"2,488",,2,1,Election Day,3,,1,,,1,,1,,,0,,0,,42,,0,,0,,0,,0,,0,,0,,26,,0,,1,,0,,0,,0,,16,,1,,0,,0,,0,,0,,0,,0,,92,0,,0,,0,,0,
Vote by Mail,"1,219","2,488",,16,5,Vote by Mail,29,,0,,,2,,0,,,0,,0,,423,,0,,2,,0,,1,,0,,3,,362,,1,,1,,4,,0,,1,,367,,0,,0,,0,,0,,1,,1,,0,,"1,198",0,,0,,0,,0,
Total,"1,314","2,488",,18,6,Total,32,,1,,,3,,1,,,0,,0,,465,,0,,2,,0,,1,,0,,3,,388,,1,,2,,4,,0,,1,,383,,1,,0,,0,,0,,1,,1,,0,,"1,290",0,,0,,0,,0,
207700,,,,,,207700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,115,"2,419",,1,0,Election Day,3,,2,,,0,,1,,,0,,0,,51,,0,,1,,1,,0,,0,,1,,21,,2,,0,,3,,1,,0,,24,,1,,0,,2,,0,,0,,0,,0,,114,0,,0,,0,,0,
Vote by Mail,600,"2,419",,13,7,Vote by Mail,21,,0,,,1,,0,,,0,,0,,247,,0,,1,,0,,1,,0,,2,,143,,1,,1,,4,,2,,0,,150,,0,,1,,2,,0,,1,,0,,2,,580,0,,0,,0,,0,
Total,715,"2,419",,14,7,Total,24,,2,,,1,,1,,,0,,0,,298,,0,,2,,1,,1,,0,,3,,164,,3,,1,,7,,3,,0,,174,,1,,1,,4,,0,,1,,0,,2,,694,0,,0,,0,,0,
208010,,,,,,208010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,103,"3,514",,3,0,Election Day,7,,0,,,0,,1,,,0,,0,,41,,0,,0,,0,,2,,0,,0,,23,,0,,1,,0,,0,,0,,25,,0,,0,,0,,0,,0,,0,,0,,100,0,,0,,0,,0,
